Input file=chi2019.04t.txt
WS=Wind Speed (m/s)
WD=Wind Dir (deg)
AT=Air Temp (C)

Year=2019
Min WS=      0.00000  Max WS=      24.0000
Min WD=      0.00000  Max WD=      360.000
Min AT=     -99.0000  Max AT=      34.7000

 Daily Averages
 DOY    WS    WD    AT     n
 350   5.11  326  -1.93  720
 351   7.77  301  -2.06  720
 352   8.03  298  -6.01  720
 353   7.95  207  -3.83  720
 354   5.06  175   0.43  720
 355   7.59  195   4.29  720
 356   7.99  202   5.77  720
 357   6.55  195   6.31  720
 358   4.19  087   4.03  720
 359   8.20  188   9.40  720
 360   8.73  209  13.04  720
 361   5.88  273   3.91  720
 362   4.59  111   2.41  720
 363   7.83  160   9.62  720
 364  10.14  226   4.06  720
 365  11.85  259  -2.30  717
